"participant","gender","age","years_married","children","religious","education","occupation","marriage_rating","number_of_affairs"
"480",480,"female",27,7,"yes",3,14,1,"neutral",1
"481",481,"female",32,10,"yes",4,14,1,"happy",3
"482",482,"male",27,4,"yes",2,18,7,"unhappy",3
"483",483,"female",17.5,0.75,"no",5,14,4,"very happy",1
"484",484,"female",32,10,"yes",4,18,1,"very happy",1
"485",485,"female",32,7,"yes",2,17,6,"happy",7
"486",486,"male",37,15,"yes",2,20,6,"happy",7
"487",487,"female",37,10,"no",1,20,5,"neutral",7
"488",488,"female",32,10,"yes",2,16,5,"very happy",12
"489",489,"male",52,15,"yes",2,20,6,"happy",7
"490",490,"female",42,15,"yes",1,12,1,"neutral",7
"491",491,"male",52,15,"yes",2,20,6,"neutral",1
"492",492,"male",37,15,"yes",3,18,6,"very happy",2
"493",493,"female",22,4,"no",3,12,3,"happy",12
"494",494,"male",27,7,"yes",1,18,6,"unhappy",12
"495",495,"male",27,4,"yes",3,18,5,"very happy",1
"496",496,"male",47,15,"yes",4,17,6,"very happy",12
"497",497,"female",42,15,"yes",4,12,1,"very unhappy",12
"498",498,"male",27,4,"no",3,14,3,"happy",7
"499",499,"female",32,7,"yes",4,18,4,"very happy",7
"500",500,"male",32,0.417,"yes",3,12,3,"happy",1
"501",501,"male",47,15,"yes",5,16,5,"happy",3
"502",502,"male",37,15,"yes",2,20,5,"happy",12
"503",503,"male",22,4,"yes",2,17,6,"happy",7
"504",504,"male",27,4,"no",2,14,4,"very happy",1
"505",505,"female",52,15,"yes",5,16,1,"neutral",7
"506",506,"male",27,4,"no",3,14,3,"neutral",1
"507",507,"female",27,10,"yes",4,16,1,"happy",1
"508",508,"male",32,7,"yes",3,14,7,"happy",1
"509",509,"male",32,7,"yes",2,18,4,"very unhappy",7
"510",510,"male",22,1.5,"no",1,14,3,"unhappy",3
"511",511,"male",22,4,"yes",3,18,6,"happy",7
"512",512,"male",42,15,"yes",4,20,6,"happy",7
"513",513,"female",57,15,"yes",1,18,5,"happy",2
"514",514,"female",32,4,"yes",3,18,5,"unhappy",7
"515",515,"male",27,4,"yes",1,16,4,"happy",1
"516",516,"male",32,7,"yes",4,16,1,"happy",7
"517",517,"male",57,15,"yes",1,17,4,"happy",2
"518",518,"female",42,15,"yes",4,14,5,"unhappy",7
"519",519,"male",37,10,"yes",1,18,5,"neutral",7
"520",520,"male",42,15,"yes",3,17,6,"very unhappy",3
"521",521,"female",52,15,"yes",3,14,4,"happy",1
"522",522,"female",27,7,"yes",3,17,5,"neutral",2
"523",523,"male",32,7,"yes",2,12,4,"unhappy",12
"524",524,"male",22,4,"no",4,14,2,"very happy",1
"525",525,"male",27,7,"yes",3,18,6,"happy",3
"526",526,"female",37,15,"yes",1,18,5,"very happy",12
"527",527,"female",32,15,"yes",3,17,1,"neutral",7
"528",528,"female",27,7,"no",2,17,5,"very happy",7
"529",529,"female",32,7,"yes",3,17,5,"neutral",1
"530",530,"male",32,1.5,"yes",2,14,2,"happy",1
"531",531,"female",42,15,"yes",4,14,1,"unhappy",12
"532",532,"male",32,10,"yes",3,14,5,"happy",7
"533",533,"male",37,4,"yes",1,20,6,"neutral",7
"534",534,"female",27,4,"yes",2,16,5,"neutral",1
"535",535,"female",42,15,"yes",3,14,4,"neutral",12
"536",536,"male",27,10,"yes",5,20,6,"very happy",1
"537",537,"male",37,10,"yes",2,20,6,"unhappy",12
"538",538,"female",27,7,"yes",1,14,3,"neutral",12
"539",539,"female",27,7,"yes",4,12,1,"unhappy",3
"540",540,"male",32,10,"yes",2,14,4,"happy",3
"541",541,"female",17.5,0.75,"yes",2,12,1,"neutral",12
"542",542,"female",32,15,"yes",3,18,5,"happy",12
"543",543,"female",22,7,"no",4,14,4,"neutral",2
"544",544,"male",32,7,"yes",4,20,6,"very happy",1
"545",545,"male",27,4,"yes",2,18,6,"unhappy",7
"546",546,"female",22,1.5,"yes",5,14,5,"neutral",1
"547",547,"female",32,15,"no",3,17,5,"very unhappy",12
"548",548,"female",42,15,"yes",2,12,1,"unhappy",12
"549",549,"male",42,15,"yes",3,20,5,"happy",7
"550",550,"male",32,10,"no",2,18,4,"unhappy",12
"551",551,"female",32,15,"yes",3,9,1,"very unhappy",12
"552",552,"male",57,15,"yes",5,20,4,"very happy",7
"553",553,"male",47,15,"yes",4,20,6,"happy",12
"554",554,"female",42,15,"yes",2,17,6,"neutral",2
"555",555,"male",37,15,"yes",3,17,6,"neutral",12
"556",556,"male",37,15,"yes",5,17,5,"unhappy",12
"557",557,"male",27,10,"yes",2,20,6,"happy",7
"558",558,"male",37,15,"yes",2,16,5,"happy",2
"559",559,"female",32,15,"yes",1,14,5,"unhappy",12
"560",560,"male",32,10,"yes",3,17,6,"neutral",7
"561",561,"male",37,15,"yes",4,18,5,"very unhappy",2
"562",562,"female",27,1.5,"no",2,17,5,"very happy",7
"563",563,"female",47,15,"yes",2,17,5,"unhappy",3
"564",564,"male",37,15,"yes",2,17,5,"happy",12
"565",565,"female",27,4,"no",2,14,5,"very happy",12
"566",566,"female",27,10,"yes",4,14,1,"very happy",2
"567",567,"female",22,4,"yes",3,16,1,"neutral",1
"568",568,"male",52,7,"no",4,16,5,"very happy",12
"569",569,"female",27,4,"yes",1,16,3,"very happy",2
"570",570,"female",37,15,"yes",2,17,6,"happy",7
"571",571,"female",27,4,"no",1,17,3,"very unhappy",2
"572",572,"female",17.5,0.75,"yes",2,12,3,"very happy",12
"573",573,"female",32,15,"yes",5,18,5,"happy",7
"574",574,"female",22,4,"no",1,16,3,"very happy",7
"575",575,"male",32,4,"yes",4,18,6,"happy",2
"576",576,"female",22,1.5,"yes",3,18,5,"unhappy",1
"577",577,"female",42,15,"yes",2,17,5,"happy",3
"578",578,"male",32,7,"yes",4,16,4,"happy",1
"579",579,"male",37,15,"no",3,14,6,"unhappy",12
"580",580,"male",42,15,"yes",3,16,6,"neutral",1
"581",581,"male",27,4,"yes",1,18,5,"happy",1
"582",582,"male",37,15,"yes",4,20,7,"neutral",2
"583",583,"male",37,15,"yes",3,20,6,"happy",7
"584",584,"male",22,1.5,"no",2,12,3,"neutral",3
"585",585,"male",32,4,"yes",3,20,6,"unhappy",3
"586",586,"male",32,15,"yes",5,20,6,"very happy",2
"587",587,"female",52,15,"yes",1,18,5,"very happy",12
"588",588,"male",47,15,"no",1,18,6,"very happy",12
"589",589,"female",32,15,"yes",4,16,4,"happy",3
"590",590,"female",32,15,"yes",3,14,3,"unhappy",7
"591",591,"female",27,7,"yes",4,16,1,"unhappy",7
"592",592,"male",42,15,"yes",3,18,6,"unhappy",12
"593",593,"female",42,15,"yes",2,14,3,"unhappy",7
"594",594,"male",27,7,"yes",2,17,5,"happy",12
"595",595,"male",32,10,"yes",4,14,4,"neutral",3
"596",596,"male",47,15,"yes",3,16,4,"unhappy",7
"597",597,"male",22,1.5,"yes",1,12,2,"very happy",1
"598",598,"female",32,10,"yes",2,18,5,"happy",7
"599",599,"male",32,10,"yes",2,17,6,"very happy",2
"600",600,"male",22,7,"yes",3,18,6,"unhappy",2
"601",601,"female",32,15,"yes",3,14,1,"very happy",1
